ID,State,Overall Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Overall Homeless People in Families,Overall Chronically Homeless,Overall Homeless Veterans,Year
513,MS,1738,889,849,1299,439,183,144,2016
514,MT,1418,788,630,844,574,137,165,2016
515,NC,9559,7250,2309,6396,3163,1184,888,2016
516,ND,923,707,216,662,261,120,116,2016
517,NE,2754,2653,101,1880,874,233,219,2016
518,NH,1366,1223,143,827,539,281,123,2016
519,NJ,8895,7461,1434,5540,3355,822,556,2016
520,NM,2263,1809,454,1556,707,649,214,2016
521,NV,7398,3471,3927,6853,545,347,851,2016
522,NY,86352,82761,3591,35315,51037,5368,1248,2016
523,OH,10404,9266,1138,6946,3458,778,930,2016
524,OK,4107,3087,1020,2997,1110,696,358,2016
525,OR,13238,5236,8002,9379,3859,3460,1341,2016
526,PA,15339,13664,1675,8599,6740,1325,1136,2016
527,PR,4418,1321,3097,3799,619,1772,146,2016
528,RI,1160,1123,37,859,301,144,89,2016
529,SC,5051,3361,1690,3758,1293,988,738,2016
530,SD,1072,887,185,548,524,44,120,2016
531,TN,8779,5773,3006,6652,2127,1782,831,2016
532,TX,23122,16214,6908,15959,7163,3689,1768,2016
533,UT,2807,2571,236,1828,979,190,335,2016
534,VA,6268,5502,766,3959,2309,793,515,2016
535,VI,341,89,252,308,33,26,32,2016
536,VT,1117,961,156,655,462,127,110,2016
537,WA,20827,12361,8466,13900,6927,2567,1484,2016
538,WI,5685,5275,410,2886,2799,363,415,2016
539,WV,1387,1252,135,1039,348,165,143,2016
540,WY,857,491,366,517,340,91,87,2016
541,AK,1845,1551,294,1354,491,257,124,2017
542,AL,3793,2656,1137,2985,808,363,269,2017
543,AR,2467,1273,1194,2068,399,473,239,2017
544,AZ,8947,5781,3166,6488,2459,1552,970,2017
545,CA,131532,42636,88896,110260,21272,37033,11436,2017
546,CO,10940,7081,3859,7571,3369,2264,1078,2017
547,CT,3388,2972,416,2208,1180,420,191,2017
548,DC,7473,6576,897,3583,3890,1881,285,2017
549,DE,994,936,58,615,379,127,91,2017
550,FL,32190,17111,15079,22768,9422,5615,2817,2017
551,GA,10174,6651,3523,7422,2752,1028,712,2017
552,GU,852,87,765,215,637,64,24,2017
553,HI,7220,3420,3800,4535,2685,1800,615,2017
554,IA,2756,2652,104,1500,1256,199,171,2017
555,ID,2037,1398,639,1309,728,436,228,2017
556,IL,10798,8541,2257,6894,3904,1475,864,2017
557,IN,5438,4869,569,3623,1815,537,615,2017
558,KS,2287,1942,345,1423,864,341,217,2017
559,KY,4025,3298,727,3032,993,405,489,2017
560,LA,3305,2330,975,2559,746,618,383,2017
561,MA,17565,16574,991,6267,11298,1914,853,2017
562,MD,7247,5511,1736,5077,2170,1520,536,2017
563,ME,2280,2100,180,1352,928,201,131,2017
564,MI,9051,8028,1023,5628,3423,774,773,2017
565,MN,7668,6560,1108,3899,3769,906,281,2017
566,MO,6037,4885,1152,3768,2269,1087,538,2017
567,MS,1472,753,719,1100,372,72,57,2017
568,MT,1529,985,544,987,542,198,205,2017
569,NC,8962,6511,2451,6044,2918,1075,931,2017
570,ND,1089,758,331,832,257,45,74,2017
571,NE,2501,2381,120,1698,803,375,174,2017
572,NH,1456,1282,174,776,680,137,124,2017
573,NJ,8536,7122,1414,5433,3103,1069,583,2017
574,NM,2482,1686,796,1865,617,814,248,2017
575,NV,7833,3255,4578,7281,552,512,832,2017
576,NY,89503,84948,4555,37390,52113,6578,1244,2017
577,OH,10095,8786,1309,6688,3407,772,862,2017
578,OK,4199,3084,1115,2824,1375,660,349,2017
579,OR,13953,5986,7967,10434,3519,3387,1251,2017
580,PA,14138,12340,1798,8271,5867,1438,963,2017
581,PR,3525,1013,2512,3141,384,1078,94,2017
582,RI,1180,1111,69,802,378,240,95,2017
583,SC,3916,2415,1501,2896,1020,824,480,2017
584,SD,943,772,171,611,332,144,130,2017
585,TN,8309,5544,2765,6137,2172,1484,757,2017
586,TX,23548,15055,8493,16708,6840,3711,2200,2017
587,UT,2852,2574,278,1882,970,185,220,2017
588,VA,6067,5059,1008,4028,2039,896,478,2017
589,VI,381,74,307,369,12,334,23,2017
590,VT,1225,1091,134,697,528,127,94,2017
591,WA,21112,12521,8591,14781,6331,4939,2093,2017
592,WI,5027,4687,340,2645,2382,434,329,2017
593,WV,1309,1121,188,1032,277,206,137,2017
594,WY,873,510,363,622,251,68,63,2017
595,AK,2016,1707,309,1434,582,357,132,2018
596,AL,3434,2424,1010,2570,864,540,339,2018
597,AR,2712,1455,1257,2280,432,466,251,2018
598,AZ,9865,5799,4066,7259,2606,1774,893,2018
599,CA,129972,40429,89543,109008,20964,34332,10836,2018
600,CO,10857,6528,4329,7607,3250,2738,1073,2018
601,CT,3976,3395,581,2280,1696,341,190,2018
602,DC,6904,6304,600,3770,3134,1781,306,2018
603,DE,1082,989,93,708,374,189,70,2018
604,FL,31030,17637,13393,21443,9587,5302,2543,2018
605,GA,9499,5900,3599,6943,2556,1080,705,2018
606,GU,854,127,727,209,645,66,14,2018
607,HI,6530,3055,3475,4131,2399,1714,532,2018
608,IA,2749,2508,241,1711,1038,270,196,2018
609,ID,2012,1289,723,1297,715,324,215,2018
610,IL,10643,8701,1942,6752,3891,1625,804,2018
611,IN,5258,4679,579,3776,1482,449,539,2018
612,KS,2216,1859,357,1443,773,300,195,2018
613,KY,3688,2820,868,2735,953,369,369,2018
614,LA,3059,1994,1065,2540,519,476,406,2018
615,MA,20068,19083,985,6811,13257,2122,985,2018
616,MD,7144,5380,1764,4914,2230,1409,574,2018
617,ME,2516,2418,98,1450,1066,215,119,2018
618,MI,8351,7452,899,5209,3142,861,693,2018
619,MN,7243,6122,1121,3993,3250,1066,301,2018
620,MO,5883,4669,1214,3776,2107,1043,507,2018
621,MS,1352,731,621,1024,328,279,102,2018
622,MT,1405,1032,373,983,422,200,198,2018
623,NC,9268,6818,2450,6451,2817,1293,884,2018
624,ND,542,494,48,467,75,76,9,2018
625,NE,2421,2277,144,1745,676,455,171,2018
626,NH,1450,1296,154,835,615,161,143,2018
627,NJ,9398,7775,1623,6048,3350,1286,555,2018
628,NM,2551,1755,796,1949,602,891,290,2018
629,NV,7544,3305,4239,7058,486,648,723,2018
630,NY,91897,87603,4294,39827,52070,7195,1224,2018
631,OH,10249,8934,1315,6929,3320,730,749,2018
632,OK,3871,2680,1191,2823,1048,908,313,2018
633,OR,14476,5551,8925,11139,3337,4321,1363,2018
634,PA,13512,11768,1744,8163,5349,1408,982,2018
635,PR,3182,670,2512,2921,261,1091,82,2018
636,RI,1101,1050,51,747,354,264,103,2018
637,SC,3933,2589,1344,3082,851,686,415,2018
638,SD,1159,874,285,836,323,190,110,2018
639,TN,7883,5028,2855,6139,1744,1663,742,2018
640,TX,25310,14776,10534,19199,6111,3404,1935,2018
641,UT,2876,2456,420,1904,972,306,239,2018
642,VA,5975,5060,915,3928,2047,897,485,2018
643,VI,486,179,307,415,71,307,24,2018
644,VT,1291,1209,82,780,511,160,104,2018
645,WA,22304,11683,10621,16424,5880,6158,1636,2018
646,WI,4907,4525,382,2740,2167,527,332,2018
647,WV,1243,1060,183,1021,222,154,131,2018
648,WY,639,440,199,434,205,46,47,2018
649,AK,1907,1634,273,1384,523,269,111,2019
650,AL,3261,2070,1191,2519,742,369,292,2019
651,AR,2717,1302,1415,2303,414,691,238,2019
652,AZ,10007,5475,4532,7538,2469,1876,910,2019
653,CA,151278,42846,108432,128777,22501,41557,10980,2019
654,CO,9619,7431,2188,7263,2356,2187,1068,2019
655,CT,3033,2577,456,2100,933,214,195,2019
656,DC,6521,5913,608,3875,2646,1688,297,2019
657,DE,921,826,95,565,356,168,65,2019
658,FL,28328,15852,12476,21265,7063,5729,2472,2019
659,GA,10443,6563,3880,7913,2530,1137,801,2019
660,GU,875,111,764,258,617,84,23,2019
661,HI,6412,2772,3640,4420,1992,1767,505,2019
662,IA,2315,2127,188,1574,741,340,149,2019
663,ID,2315,1330,985,1516,799,449,201,2019
664,IL,10199,8310,1889,6513,3686,1842,690,2019
665,IN,5471,4829,642,3783,1688,366,572,2019
666,KS,2381,1906,475,1742,639,399,189,2019
667,KY,4079,3300,779,3073,1006,534,447,2019
668,LA,2941,1967,974,2416,525,446,360,2019
669,MA,18471,17642,829,6259,12212,2370,917,2019
670,MD,6561,5213,1348,4652,1909,1295,490,2019
671,ME,2106,2011,95,1232,874,226,116,2019
672,MI,8575,7913,662,5212,3363,950,599,2019
673,MN,7977,6324,1653,4586,3391,1745,297,2019
674,MO,6179,5203,976,4173,2006,1062,488,2019
675,MS,1184,698,486,963,221,223,72,2019
676,MT,1357,1012,345,947,410,228,205,2019
677,NC,9314,7046,2268,6867,2447,1271,907,2019
678,ND,557,545,12,377,180,73,49,2019
679,NE,2365,2255,110,1715,650,454,175,2019
680,NH,1396,1247,149,812,584,218,113,2019
681,NJ,8862,7380,1482,5895,2967,1419,551,2019
682,NM,3241,1982,1259,2464,777,1455,257,2019
683,NV,7169,3362,3807,6614,555,715,674,2019
684,NY,92091,88044,4047,42113,49978,7229,1270,2019
685,OH,10345,8838,1507,7041,3304,874,676,2019
686,OK,3944,2707,1237,3063,881,954,280,2019
687,OR,15876,5734,10142,12354,3522,4902,1438,2019
688,PA,13199,11569,1630,8426,4773,1863,857,2019
689,PR,2535,635,1900,2341,194,686,90,2019
690,RI,1055,984,71,730,325,198,92,2019
691,SC,4172,2455,1717,3318,854,942,462,2019
692,SD,995,761,234,725,270,100,66,2019
693,TN,7467,4869,2598,5637,1830,1133,679,2019
694,TX,25848,14626,11222,19611,6237,3511,1806,2019
695,UT,2798,2390,408,1921,877,512,211,2019
696,VA,5783,4924,859,3666,2117,881,447,2019
697,VI,314,82,232,314,0,105,13,2019
698,VT,1089,975,114,681,408,190,87,2019
699,WA,21577,12020,9557,15985,5592,4884,1585,2019
700,WI,4538,4243,295,2545,1993,533,359,2019
701,WV,1397,1149,248,1149,248,161,137,2019
702,WY,548,423,125,437,111,67,51,2019
