ID,STATE,HOMELESSNESS,YEAR
291,KS,2783,2014
292,KY,5089,2014
293,LA,4606,2014
294,MA,21237,2014
295,MD,7856,2014
296,ME,2726,2014
297,MI,12227,2014
298,MN,8377,2014
299,MO,7282,2014
300,MS,2226,2014
301,MT,1745,2014
302,NC,11491,2014
303,ND,1258,2014
304,NE,3026,2014
305,NH,1376,2014
306,NJ,11671,2014
307,NM,2746,2014
308,NV,8582,2014
309,NY,80590,2014
310,OH,11823,2014
311,OK,4191,2014
312,OR,12164,2014
313,PA,15333,2014
314,PR,4132,2014
315,RI,1190,2014
316,SC,5057,2014
317,SD,885,2014
318,TN,9415,2014
319,TX,28495,2014
320,UT,3081,2014
321,VA,7020,2014
322,VI,448,2014
323,VT,1559,2014
324,WA,18442,2014
325,WI,6055,2014
326,WV,2013,2014
327,WY,757,2014
328,AK,1946,2013
329,AL,4689,2013
330,AR,3812,2013
331,AZ,10562,2013
332,CA,118552,2013
333,CO,9754,2013
334,CT,4448,2013
335,DC,6865,2013
336,DE,946,2013
337,FL,47862,2013
338,GA,16971,2013
339,GU,1271,2013
340,HI,6335,2013
341,IA,3084,2013
342,ID,1781,2013
343,IL,13425,2013
344,IN,6096,2013
345,KS,2693,2013
346,KY,5245,2013
347,LA,5226,2013
348,MA,19029,2013
349,MD,8205,2013
350,ME,3016,2013
351,MI,11527,2013
352,MN,8214,2013
353,MO,8581,2013
354,MS,2403,2013
355,MT,1878,2013
356,NC,12168,2013
357,ND,2069,2013
358,NE,3145,2013
359,NH,1447,2013
360,NJ,12002,2013
361,NM,2819,2013
362,NV,7039,2013
363,NY,77430,2013
364,OH,12325,2013
365,OK,4408,2013
366,OR,13822,2013
367,PA,15086,2013
368,PR,4128,2013
369,RI,1384,2013
370,SC,6544,2013
371,SD,1094,2013
372,TN,9528,2013
373,TX,29615,2013
374,UT,3277,2013
375,VA,7625,2013
376,VI,482,2013
377,VT,1454,2013
378,WA,17760,2013
379,WI,6104,2013
380,WV,2240,2013
381,WY,953,2013
382,AK,1913,2012
383,AL,5209,2012
384,AR,4214,2012
385,AZ,11302,2012
386,CA,120098,2012
387,CO,16768,2012
388,CT,4209,2012
389,DC,6954,2012
390,DE,1008,2012
391,FL,55170,2012
392,GA,20516,2012
393,GU,1301,2012
394,HI,6246,2012
395,IA,2928,2012
396,ID,1968,2012
397,IL,14144,2012
398,IN,6259,2012
399,KS,2684,2012
400,KY,5230,2012
401,LA,7772,2012
402,MA,17501,2012
403,MD,9454,2012
404,ME,2393,2012
405,MI,12592,2012
406,MN,7744,2012
407,MO,10237,2012
408,MS,2413,2012
409,MT,1833,2012
410,NC,13524,2012
411,ND,688,2012
412,NE,3789,2012
413,NH,1496,2012
414,NJ,13025,2012
415,NM,3245,2012
416,NV,8497,2012
417,NY,69566,2012
418,OH,13977,2012
419,OK,5032,2012
420,OR,15828,2012
421,PA,14736,2012
422,PR,3212,2012
423,RI,1277,2012
424,SC,4915,2012
425,SD,859,2012
426,TN,9426,2012
427,TX,34052,2012
428,UT,3527,2012
429,VA,8424,2012
430,VI,484,2012
431,VT,1160,2012
432,WA,20504,2012
433,WI,6027,2012
434,WV,2410,2012
435,WY,1813,2012
436,AK,2128,2011
437,AL,5558,2011
438,AR,3424,2011
439,AZ,10504,2011
440,CA,125128,2011
441,CO,15116,2011
442,CT,4456,2011
443,DC,6546,2011
444,DE,1035,2011
445,FL,56687,2011
446,GA,20975,2011
447,GU,1745,2011
448,HI,6188,2011
449,IA,3134,2011
450,ID,2199,2011
451,IL,14009,2011
452,IN,6196,2011
453,KS,2511,2011
454,KY,6034,2011
455,LA,9291,2011
456,MA,16664,2011
457,MD,10208,2011
458,ME,2447,2011
459,MI,13185,2011
460,MN,7495,2011
461,MO,8989,2011
462,MS,2306,2011
463,MT,1768,2011
464,NC,12896,2011
465,ND,603,2011
466,NE,3548,2011
467,NH,1469,2011
468,NJ,14137,2011
469,NM,3601,2011
470,NV,9150,2011
471,NY,63445,2011
472,OH,13030,2011
473,OK,4625,2011
474,OR,17254,2011
475,PA,15096,2011
476,PR,2900,2011
477,RI,1070,2011
478,SC,5093,2011
479,SD,826,2011
480,TN,9113,2011
481,TX,36911,2011
482,UT,3130,2011
483,VA,8816,2011
484,VI,532,2011
485,VT,1144,2011
486,WA,20439,2011
487,WI,5785,2011
488,WV,2211,2011
489,WY,1038,2011
490,AK,1863,2010
491,AL,6046,2010
492,AR,2762,2010
493,AZ,13711,2010
494,CA,123480,2010
495,CO,15482,2010
496,CT,4316,2010
497,DC,6539,2010
498,DE,982,2010
499,FL,57551,2010
500,GA,19836,2010
501,GU,1635,2010
502,HI,5834,2010
503,IA,3014,2010
504,ID,2346,2010
505,IL,14395,2010
506,IN,6452,2010
507,KS,2024,2010
508,KY,6623,2010
509,LA,12482,2010
510,MA,16646,2010
511,MD,10845,2010
512,ME,2379,2010
513,MI,13058,2010
514,MN,7869,2010
515,MO,8122,2010
516,MS,2743,2010
517,MT,1615,2010
518,NC,12191,2010
519,ND,799,2010
520,NE,3877,2010
521,NH,1574,2010
522,NJ,13737,2010
523,NM,3475,2010
524,NV,11205,2010
525,NY,65606,2010
526,OH,12569,2010
527,OK,5229,2010
528,OR,19492,2010
529,PA,14516,2010
530,PR,4149,2010
531,RI,1282,2010
532,SC,4473,2010
533,SD,731,2010
534,TN,10276,2010
535,TX,35121,2010
536,UT,3284,2010
537,VA,9080,2010
538,VI,487,2010
539,VT,1220,2010
540,WA,22878,2010
541,WI,6333,2010
542,WV,2264,2010
543,WY,579,2010
544,AK,1992,2009
545,AL,6080,2009
546,AR,2852,2009
547,AZ,14721,2009
548,CA,123678,2009
549,CO,15268,2009
550,CT,4605,2009
551,DC,6228,2009
552,DE,1130,2009
553,FL,55599,2009
554,GA,20360,2009
555,GU,1088,2009
556,HI,5782,2009
557,IA,3380,2009
558,ID,1939,2009
559,IL,14055,2009
560,IN,6984,2009
561,KS,1892,2009
562,KY,5999,2009
563,LA,12504,2009
564,MA,15482,2009
565,MD,11698,2009
566,ME,2444,2009
567,MI,14005,2009
568,MN,7718,2009
569,MO,6959,2009
570,MS,2797,2009
571,MT,1196,2009
572,NC,12918,2009
573,ND,773,2009
574,NE,3718,2009
575,NH,1645,2009
576,NJ,13169,2009
577,NM,3475,2009
578,NV,11089,2009
579,NY,61067,2009
580,OH,12700,2009
581,OK,4838,2009
582,OR,17309,2009
583,PA,15096,2009
584,PR,4070,2009
585,RI,1607,2009
586,SC,4473,2009
587,SD,731,2009
588,TN,10532,2009
589,TX,36761,2009
590,UT,3795,2009
591,VA,8852,2009
592,VI,471,2009
593,VT,1214,2009
594,WA,22782,2009
595,WI,6525,2009
596,WV,1667,2009
597,WY,515,2009
598,AK,1646,2008
599,AL,5387,2008
600,AR,3255,2008
601,AZ,12488,2008
602,CA,136531,2008
603,CO,14747,2008
604,CT,4627,2008
605,DC,6044,2008
606,DE,933,2008
607,FL,50158,2008
608,GA,19095,2008
609,GU,725,2008
610,HI,6061,2008
611,IA,3346,2008
612,ID,1464,2008
613,IL,14724,2008
614,IN,7395,2008
615,KS,1738,2008
616,KY,8137,2008
617,LA,5481,2008
618,MA,14506,2008
619,MD,9219,2008
620,ME,2632,2008
621,MI,28248,2008
622,MN,7644,2008
623,MO,7687,2008
624,MS,1961,2008
625,MT,1417,2008
626,NC,12411,2008
627,ND,615,2008
628,NE,3985,2008
629,NH,2019,2008
630,NJ,13832,2008
631,NM,3015,2008
632,NV,8726,2008
633,NY,61125,2008
634,OH,12912,2008
635,OK,3846,2008
636,OR,20653,2008
637,PA,15378,2008
638,PR,3012,2008
639,RI,1196,2008
640,SC,5660,2008
641,SD,579,2008
642,TN,9705,2008
643,TX,40190,2008
644,UT,3434,2008
645,VA,8469,2008
646,VI,602,2008
647,VT,954,2008
648,WA,21954,2008
649,WI,5449,2008
650,WV,2016,2008
651,WY,751,2008
652,AK,1642,2007
653,AL,5452,2007
654,AR,3836,2007
655,AZ,14646,2007
656,CA,138986,2007
657,CO,14225,2007
658,CT,4482,2007
659,DC,5320,2007
660,DE,1061,2007
661,FL,48069,2007
662,GA,19639,2007
663,GU,725,2007
664,HI,6070,2007
665,IA,2734,2007
666,ID,1749,2007
