State,"Total Year-Round Beds (ES, TH, SH)",year
AR,2561,2013
AZ,8982,2013
CA,45411,2013
CO,7744,2013
CT,3634,2013
DC,7854,2013
DE,1263,2013
FL,24292,2013
GA,9371,2013
GU,193,2013
HI,4112,2013
IA,3828,2013
ID,1996,2013
IL,12787,2013
IN,7758,2013
KS,3120,2013
KY,4970,2013
LA,4662,2013
MA,18047,2013
MD,6080,2013
ME,3243,2013
MI,11385,2013
MN,7126,2013
MO,7761,2013
MS,1823,2013
MT,1493,2013
NC,10834,2013
ND,729,2013
NE,3728,2013
NH,1410,2013
NJ,8285,2013
NM,2592,2013
NV,3929,2013
NY,75992,2013
OH,13301,2013
OK,4211,2013
OR,7922,2013
PA,16370,2013
PR,2003,2013
RI,1181,2013
SC,4149,2013
SD,1588,2013
TN,6979,2013
TX,22582,2013
UT,3188,2013
VA,7935,2013
VI,151,2013
VT,1414,2013
WA,18551,2013
WI,6701,2013
WV,1980,2013
WY,905,2013
Total,446078,2013
﻿State,"Total Year-Round Beds (ES,TH,SH)",year
AK,"1,877",2012
AL,"4,297",2012
AR,"2,662",2012
AZ,"9,238",2012
CA,"47,144",2012
CO,"6,536",2012
CT,"3,539",2012
DC,"6,243",2012
DE,"1,239",2012
FL,"23,272",2012
GA,"9,534",2012
GU,259,2012
HI,"4,230",2012
IA,"3,627",2012
ID,"1,795",2012
IL,"13,246",2012
IN,"7,389",2012
KS,"3,085",2012
KY,"4,547",2012
LA,"5,041",2012
MA,"14,782",2012
MD,"5,769",2012
ME,"2,675",2012
MI,"11,827",2012
MN,"6,879",2012
MO,"8,253",2012
MS,"1,542",2012
MT,"1,411",2012
NC,"10,071",2012
ND,724,2012
NE,"3,667",2012
NH,"1,353",2012
NJ,"7,882",2012
NM,"2,545",2012
NV,"4,630",2012
NY,"69,190",2012
OH,"12,499",2012
OK,"4,013",2012
OR,"7,249",2012
PA,"16,050",2012
PR,"2,199",2012
RI,"1,162",2012
SC,"4,825",2012
SD,"1,444",2012
TN,"6,492",2012
TX,"22,880",2012
UT,"3,020",2012
VA,"7,514",2012
VI,158,2012
VT,981,2012
WA,"16,966",2012
WI,"6,384",2012
WV,"1,874",2012
WY,817,2012
Total,"428,527",2012
﻿State,"Total Year-Round Beds (ES,TH,SH)",year
AK,"1,939",2011
AL,"4,497",2011
AR,"2,710",2011
AZ,"8,748",2011
CA,"49,657",2011
CO,"6,361",2011
CT,"3,906",2011
DC,"6,479",2011
DE,"1,216",2011
FL,"23,974",2011
GA,"11,167",2011
GU,264,2011
HI,"4,250",2011
IA,"3,982",2011
ID,"1,895",2011
IL,"13,045",2011
IN,"7,245",2011
KS,"2,942",2011
KY,"5,389",2011
LA,"5,073",2011
MA,"14,567",2011
MD,"6,284",2011
ME,"2,801",2011
MI,"12,108",2011
MN,"6,973",2011
MO,"8,136",2011
MS,"1,373",2011
MT,"1,207",2011
NC,"10,277",2011
ND,739,2011
NE,"3,807",2011
NH,"1,360",2011
NJ,"7,576",2011
NM,"2,797",2011
NV,"4,775",2011
NY,"64,083",2011
OH,"11,693",2011
OK,"3,632",2011
OR,"7,377",2011
PA,"16,363",2011
PR,"2,053",2011
RI,"1,300",2011
SC,"3,791",2011
SD,"1,319",2011
TN,"6,746",2011
TX,"24,323",2011
UT,"2,954",2011
VA,"7,690",2011
VI,195,2011
VT,805,2011
WA,"16,669",2011
WI,"6,692",2011
WV,"1,878",2011
WY,753,2011
Total,"429,835",2011
﻿State,"Total Year-Round Beds (ES,TH,SH)",year
AK,"1,805",2010
AL,"4,221",2010
AR,"2,700",2010
AZ,"8,914",2010
CA,"50,282",2010
CO,"6,420",2010
CT,"3,921",2010
DC,"6,375",2010
DE,"1,233",2010
FL,"23,362",2010
GA,"9,965",2010
GU,240,2010
HI,"4,259",2010
IA,"3,978",2010
ID,"1,905",2010
IL,"13,555",2010
IN,"7,661",2010
KS,"2,787",2010
KY,"5,556",2010
LA,"5,148",2010
MA,"15,509",2010
MD,"5,900",2010
ME,"2,724",2010
MI,"11,822",2010
MN,"7,325",2010
MO,"7,440",2010
MS,"1,376",2010
MT,"1,170",2010
NC,"9,968",2010
ND,850,2010
NE,"3,490",2010
NH,"1,374",2010
NJ,"6,845",2010
NM,"2,692",2010
NV,"3,971",2010
NY,"63,841",2010
OH,"11,324",2010
OK,"3,633",2010
OR,"7,640",2010
PA,"15,745",2010
PR,"2,019",2010
RI,"1,215",2010
SC,"3,508",2010
SD,"1,379",2010
TN,"6,202",2010
TX,"22,393",2010
UT,"2,922",2010
VA,"7,949",2010
VI,148,2010
VT,786,2010
WA,"18,071",2010
WI,"6,008",2010
WV,"2,002",2010
WY,904,2010
Total,"424,432",2010
﻿State,"Total Year-Round Beds (ES,TH,SH)",year
AK,"1,697",2009
AL,"4,065",2009
AR,"1,802",2009
AZ,"9,066",2009
CA,"52,397",2009
CO,"6,363",2009
CT,"4,043",2009
DC,"6,202",2009
DE,"1,197",2009
FL,"22,376",2009
GA,"10,584",2009
GU,234,2009
HI,"4,210",2009
IA,"4,288",2009
ID,"1,944",2009
IL,"13,153",2009
IN,"7,608",2009
KS,"1,399",2009
KY,"5,250",2009
LA,"5,070",2009
MA,"15,036",2009
MD,"6,026",2009
ME,"2,774",2009
MI,"12,059",2009
MN,"7,171",2009
MO,"7,391",2009
MS,"1,451",2009
MT,"1,214",2009
NC,"9,639",2009
ND,790,2009
NE,"3,189",2009
NH,"1,356",2009
NJ,"6,809",2009
NM,"2,743",2009
NV,"8,397",2009
NY,"60,070",2009
OH,"10,757",2009
OK,"3,661",2009
OR,"8,563",2009
PA,"16,112",2009
PR,"2,038",2009
RI,"1,450",2009
SC,"4,261",2009
SD,"1,379",2009
TN,"5,725",2009
TX,"22,449",2009
UT,"3,215",2009
VA,"7,947",2009
VI,123,2009
VT,791,2009
WA,"17,927",2009
WI,"5,989",2009
WV,"1,853",2009
WY,739,2009
Total,"424,042",2009
﻿State,"Total Year-Round Beds (ES,TH,SH)",year
AK,"1,697",2008
AL,"4,337",2008
AR,"1,847",2008
AZ,"9,803",2008
CA,"52,016",2008
CO,"6,522",2008
CT,"3,958",2008
DC,"5,742",2008
DE,"1,250",2008
FL,"22,036",2008
GA,"10,152",2008
GU,244,2008
HI,"3,872",2008
IA,"4,311",2008
ID,"1,872",2008
IL,"13,815",2008
IN,"8,811",2008
KS,"2,474",2008
KY,"6,078",2008
LA,"4,707",2008
MA,"14,239",2008
MD,"5,610",2008
ME,"2,966",2008
MI,"11,678",2008
MN,"7,096",2008
MO,"6,994",2008
MS,"1,788",2008
MT,"1,188",2008
NC,"9,730",2008
ND,782,2008
NE,"3,217",2008
NH,"1,516",2008
NJ,"6,833",2008
NM,"2,649",2008
NV,"5,294",2008
NY,"57,217",2008
OH,"10,629",2008
OK,"3,575",2008
OR,"9,237",2008
PA,"16,747",2008
PR,"1,892",2008
RI,"1,254",2008
SC,"3,969",2008
SD,"1,379",2008
TN,"6,259",2008
TX,"20,666",2008
UT,"3,306",2008
VA,"7,671",2008
VI,108,2008
VT,931,2008
WA,"17,279",2008
WI,"6,305",2008
WV,"2,060",2008
WY,710,2008
Total,"418,318",2008
﻿State,"Total Year-Round Beds (ES,TH)",year
AK,"1,758",2007
AL,"4,373",2007
AR,"2,592",2007
AZ,"9,333",2007
CA,"51,078",2007
CO,"6,414",2007
CT,"3,902",2007
DC,"5,264",2007
DE,"1,225",2007
FL,"21,062",2007
GA,"9,233",2007
GU,217,2007
HI,"3,100",2007
IA,"3,553",2007
ID,"1,626",2007
IL,"13,852",2007
IN,"8,167",2007
KS,"2,784",2007
KY,"6,279",2007
LA,"4,627",2007
MA,"14,616",2007
MD,"6,051",2007
ME,"2,998",2007
MI,"11,647",2007
MN,"7,178",2007
MO,"6,980",2007
MS,"1,609",2007
MT,"1,210",2007
NC,"8,831",2007
ND,957,2007
NE,"3,335",2007
NH,"1,678",2007
NJ,"7,319",2007
NM,"2,334",2007
NV,"5,671",2007
NY,"59,556",2007
OH,"12,172",2007
OK,"3,548",2007
OR,"12,980",2007
PA,"16,531",2007
PR,"2,572",2007
RI,"1,456",2007
SC,"3,874",2007
SD,"1,416",2007
TN,"6,405",2007
TX,"20,794",2007
UT,"3,245",2007
VA,"7,725",2007
VI,164,2007
VT,879,2007
WA,"17,587",2007
WI,"6,255",2007
WV,"1,915",2007
WY,729,2007
Total,"422,656",2007
