State,Overall Homeless,Sheltered Total Homeless,Unsheltered Homeless,Overall Homeless Individuals,Overall Homeless People in Families,Overall Chronically Homeless,Overall Homeless Veterans,Year
UT,2807,2571,236,1828,979,190,335,2016
VA,6268,5502,766,3959,2309,793,515,2016
VI,341,89,252,308,33,26,32,2016
VT,1117,961,156,655,462,127,110,2016
WA,20827,12361,8466,13900,6927,2567,1484,2016
WI,5685,5275,410,2886,2799,363,415,2016
WV,1387,1252,135,1039,348,165,143,2016
WY,857,491,366,517,340,91,87,2016
AK,1845,1551,294,1354,491,257,124,2017
AL,3793,2656,1137,2985,808,363,269,2017
AR,2467,1273,1194,2068,399,473,239,2017
AZ,8947,5781,3166,6488,2459,1552,970,2017
CA,131532,42636,88896,110260,21272,37033,11436,2017
CO,10940,7081,3859,7571,3369,2264,1078,2017
CT,3388,2972,416,2208,1180,420,191,2017
DC,7473,6576,897,3583,3890,1881,285,2017
DE,994,936,58,615,379,127,91,2017
FL,32190,17111,15079,22768,9422,5615,2817,2017
GA,10174,6651,3523,7422,2752,1028,712,2017
GU,852,87,765,215,637,64,24,2017
HI,7220,3420,3800,4535,2685,1800,615,2017
IA,2756,2652,104,1500,1256,199,171,2017
ID,2037,1398,639,1309,728,436,228,2017
IL,10798,8541,2257,6894,3904,1475,864,2017
IN,5438,4869,569,3623,1815,537,615,2017
KS,2287,1942,345,1423,864,341,217,2017
KY,4025,3298,727,3032,993,405,489,2017
LA,3305,2330,975,2559,746,618,383,2017
MA,17565,16574,991,6267,11298,1914,853,2017
MD,7247,5511,1736,5077,2170,1520,536,2017
ME,2280,2100,180,1352,928,201,131,2017
MI,9051,8028,1023,5628,3423,774,773,2017
MN,7668,6560,1108,3899,3769,906,281,2017
MO,6037,4885,1152,3768,2269,1087,538,2017
MP,672,24,648,208,464,0,0,2017
MS,1472,753,719,1100,372,72,57,2017
MT,1529,985,544,987,542,198,205,2017
NC,8962,6511,2451,6044,2918,1075,931,2017
ND,1089,758,331,832,257,45,74,2017
NE,2501,2381,120,1698,803,375,174,2017
NH,1456,1282,174,776,680,137,124,2017
NJ,8536,7122,1414,5433,3103,1069,583,2017
NM,2482,1686,796,1865,617,814,248,2017
NV,7833,3255,4578,7281,552,512,832,2017
NY,89503,84948,4555,37390,52113,6578,1244,2017
OH,10095,8786,1309,6688,3407,772,862,2017
OK,4199,3084,1115,2824,1375,660,349,2017
OR,13953,5986,7967,10434,3519,3387,1251,2017
PA,14138,12340,1798,8271,5867,1438,963,2017
PR,3525,1013,2512,3141,384,1078,94,2017
RI,1180,1111,69,802,378,240,95,2017
SC,3916,2415,1501,2896,1020,824,480,2017
SD,943,772,171,611,332,144,130,2017
TN,8309,5544,2765,6137,2172,1484,757,2017
TX,23548,15055,8493,16708,6840,3711,2200,2017
UT,2852,2574,278,1882,970,185,220,2017
VA,6067,5059,1008,4028,2039,896,478,2017
VI,381,74,307,369,12,334,23,2017
VT,1225,1091,134,697,528,127,94,2017
WA,21112,12521,8591,14781,6331,4939,2093,2017
WI,5027,4687,340,2645,2382,434,329,2017
WV,1309,1121,188,1032,277,206,137,2017
WY,873,510,363,622,251,68,63,2017
AK,2016,1707,309,1434,582,357,132,2018
AL,3434,2424,1010,2570,864,540,339,2018
AR,2712,1455,1257,2280,432,466,251,2018
AZ,9865,5799,4066,7259,2606,1774,893,2018
CA,129972,40429,89543,109008,20964,34332,10836,2018
CO,10857,6528,4329,7607,3250,2738,1073,2018
CT,3976,3395,581,2280,1696,341,190,2018
DC,6904,6304,600,3770,3134,1781,306,2018
DE,1082,989,93,708,374,189,70,2018
FL,31030,17637,13393,21443,9587,5302,2543,2018
GA,9499,5900,3599,6943,2556,1080,705,2018
GU,854,127,727,209,645,66,14,2018
HI,6530,3055,3475,4131,2399,1714,532,2018
IA,2749,2508,241,1711,1038,270,196,2018
ID,2012,1289,723,1297,715,324,215,2018
IL,10643,8701,1942,6752,3891,1625,804,2018
IN,5258,4679,579,3776,1482,449,539,2018
KS,2216,1859,357,1443,773,300,195,2018
KY,3688,2820,868,2735,953,369,369,2018
LA,3059,1994,1065,2540,519,476,406,2018
MA,20068,19083,985,6811,13257,2122,985,2018
MD,7144,5380,1764,4914,2230,1409,574,2018
ME,2516,2418,98,1450,1066,215,119,2018
MI,8351,7452,899,5209,3142,861,693,2018
MN,7243,6122,1121,3993,3250,1066,301,2018
MO,5883,4669,1214,3776,2107,1043,507,2018
MP,1044,22,1022,357,687,0,0,2018
MS,1352,731,621,1024,328,279,102,2018
MT,1405,1032,373,983,422,200,198,2018
NC,9268,6818,2450,6451,2817,1293,884,2018
ND,542,494,48,467,75,76,9,2018
NE,2421,2277,144,1745,676,455,171,2018
NH,1450,1296,154,835,615,161,143,2018
NJ,9398,7775,1623,6048,3350,1286,555,2018
NM,2551,1755,796,1949,602,891,290,2018
NV,7544,3305,4239,7058,486,648,723,2018
NY,91897,87603,4294,39827,52070,7195,1224,2018
OH,10249,8934,1315,6929,3320,730,749,2018
OK,3871,2680,1191,2823,1048,908,313,2018
OR,14476,5551,8925,11139,3337,4321,1363,2018
PA,13512,11768,1744,8163,5349,1408,982,2018
PR,3182,670,2512,2921,261,1091,82,2018
RI,1101,1050,51,747,354,264,103,2018
SC,3933,2589,1344,3082,851,686,415,2018
SD,1159,874,285,836,323,190,110,2018
TN,7883,5028,2855,6139,1744,1663,742,2018
TX,25310,14776,10534,19199,6111,3404,1935,2018
UT,2876,2456,420,1904,972,306,239,2018
VA,5975,5060,915,3928,2047,897,485,2018
VI,486,179,307,415,71,307,24,2018
VT,1291,1209,82,780,511,160,104,2018
WA,22304,11683,10621,16424,5880,6158,1636,2018
WI,4907,4525,382,2740,2167,527,332,2018
WV,1243,1060,183,1021,222,154,131,2018
WY,639,440,199,434,205,46,47,2018
AK,1907,1634,273,1384,523,269,111,2019
AL,3261,2070,1191,2519,742,369,292,2019
AR,2717,1302,1415,2303,414,691,238,2019
AZ,10007,5475,4532,7538,2469,1876,910,2019
CA,151278,42846,108432,128777,22501,41557,10980,2019
CO,9619,7431,2188,7263,2356,2187,1068,2019
CT,3033,2577,456,2100,933,214,195,2019
DC,6521,5913,608,3875,2646,1688,297,2019
DE,921,826,95,565,356,168,65,2019
FL,28328,15852,12476,21265,7063,5729,2472,2019
GA,10443,6563,3880,7913,2530,1137,801,2019
GU,875,111,764,258,617,84,23,2019
HI,6412,2772,3640,4420,1992,1767,505,2019
IA,2315,2127,188,1574,741,340,149,2019
ID,2315,1330,985,1516,799,449,201,2019
IL,10199,8310,1889,6513,3686,1842,690,2019
IN,5471,4829,642,3783,1688,366,572,2019
KS,2381,1906,475,1742,639,399,189,2019
KY,4079,3300,779,3073,1006,534,447,2019
LA,2941,1967,974,2416,525,446,360,2019
MA,18471,17642,829,6259,12212,2370,917,2019
MD,6561,5213,1348,4652,1909,1295,490,2019
ME,2106,2011,95,1232,874,226,116,2019
MI,8575,7913,662,5212,3363,950,599,2019
MN,7977,6324,1653,4586,3391,1745,297,2019
MO,6179,5203,976,4173,2006,1062,488,2019
MP,1807,20,1787,423,1384,42,4,2019
MS,1184,698,486,963,221,223,72,2019
MT,1357,1012,345,947,410,228,205,2019
NC,9314,7046,2268,6867,2447,1271,907,2019
ND,557,545,12,377,180,73,49,2019
NE,2365,2255,110,1715,650,454,175,2019
NH,1396,1247,149,812,584,218,113,2019
NJ,8862,7380,1482,5895,2967,1419,551,2019
NM,3241,1982,1259,2464,777,1455,257,2019
NV,7169,3362,3807,6614,555,715,674,2019
NY,92091,88044,4047,42113,49978,7229,1270,2019
OH,10345,8838,1507,7041,3304,874,676,2019
OK,3944,2707,1237,3063,881,954,280,2019
OR,15876,5734,10142,12354,3522,4902,1438,2019
PA,13199,11569,1630,8426,4773,1863,857,2019
PR,2535,635,1900,2341,194,686,90,2019
RI,1055,984,71,730,325,198,92,2019
SC,4172,2455,1717,3318,854,942,462,2019
SD,995,761,234,725,270,100,66,2019
TN,7467,4869,2598,5637,1830,1133,679,2019
TX,25848,14626,11222,19611,6237,3511,1806,2019
UT,2798,2390,408,1921,877,512,211,2019
VA,5783,4924,859,3666,2117,881,447,2019
VI,314,82,232,314,0,105,13,2019
VT,1089,975,114,681,408,190,87,2019
WA,21577,12020,9557,15985,5592,4884,1585,2019
WI,4538,4243,295,2545,1993,533,359,2019
WV,1397,1149,248,1149,248,161,137,2019
WY,548,423,125,437,111,67,51,2019
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
