id,State,"Total Year-Round Beds (ES, TH, SH)",year
291,KS,3188,2014
292,KY,4262,2014
293,LA,4574,2014
294,MA,15471,2014
295,MD,5950,2014
296,ME,2730,2014
297,MI,10643,2014
298,MN,7336,2014
299,MO,7284,2014
300,MS,1607,2014
301,MT,1337,2014
302,NC,9724,2014
303,ND,936,2014
304,NE,3446,2014
305,NH,1398,2014
306,NJ,7561,2014
307,NM,2325,2014
308,NV,5175,2014
309,NY,78506,2014
310,OH,10759,2014
311,OK,3880,2014
312,OR,6924,2014
313,PA,15922,2014
314,PR,1962,2014
315,RI,1225,2014
316,SC,3473,2014
317,SD,1747,2014
318,TN,6791,2014
319,TX,22443,2014
320,UT,2740,2014
321,VA,6274,2014
322,VI,127,2014
323,VT,1040,2014
324,WA,14886,2014
325,WI,6504,2014
326,WV,1965,2014
327,WY,815,2014
328,AK,1895,2013
329,AL,4077,2013
330,AR,2561,2013
331,AZ,8982,2013
332,CA,45411,2013
333,CO,7744,2013
334,CT,3634,2013
335,DC,7854,2013
336,DE,1263,2013
337,FL,24292,2013
338,GA,9371,2013
339,GU,193,2013
340,HI,4112,2013
341,IA,3828,2013
342,ID,1996,2013
343,IL,12787,2013
344,IN,7758,2013
345,KS,3120,2013
346,KY,4970,2013
347,LA,4662,2013
348,MA,18047,2013
349,MD,6080,2013
350,ME,3243,2013
351,MI,11385,2013
352,MN,7126,2013
353,MO,7761,2013
354,MS,1823,2013
355,MT,1493,2013
356,NC,10834,2013
357,ND,729,2013
358,NE,3728,2013
359,NH,1410,2013
360,NJ,8285,2013
361,NM,2592,2013
362,NV,3929,2013
363,NY,75992,2013
364,OH,13301,2013
365,OK,4211,2013
366,OR,7922,2013
367,PA,16370,2013
368,PR,2003,2013
369,RI,1181,2013
370,SC,4149,2013
371,SD,1588,2013
372,TN,6979,2013
373,TX,22582,2013
374,UT,3188,2013
375,VA,7935,2013
376,VI,151,2013
377,VT,1414,2013
378,WA,18551,2013
379,WI,6701,2013
380,WV,1980,2013
381,WY,905,2013
382,AK,1877,2012
383,AL,4297,2012
384,AR,2662,2012
385,AZ,9238,2012
386,CA,47144,2012
387,CO,6536,2012
388,CT,3539,2012
389,DC,6243,2012
390,DE,1239,2012
391,FL,23272,2012
392,GA,9534,2012
393,GU,259,2012
394,HI,4230,2012
395,IA,3627,2012
396,ID,1795,2012
397,IL,13246,2012
398,IN,7389,2012
399,KS,3085,2012
400,KY,4547,2012
401,LA,5041,2012
402,MA,14782,2012
403,MD,5769,2012
404,ME,2675,2012
405,MI,11827,2012
406,MN,6879,2012
407,MO,8253,2012
408,MS,1542,2012
409,MT,1411,2012
410,NC,10071,2012
411,ND,724,2012
412,NE,3667,2012
413,NH,1353,2012
