NJ,16,10098,2015
NM,2,2629,2015
NV,3,8743,2015
NY,27,88250,2015
OH,9,11182,2015
OK,8,3777,2015
OR,7,13226,2015
PA,16,15421,2015
PR,2,4518,2015
RI,1,1111,2015
SC,4,5354,2015
SD,1,1036,2015
TN,10,9123,2015
TX,11,23678,2015
UT,3,3025,2015
VA,16,7001,2015
VI,1,337,2015
VT,2,1523,2015
WA,7,19419,2015
WI,4,6057,2015
WV,4,1835,2015
WY,1,798,2015
Total,406,564708,2015
AK,2,1784,2014
AL,8,4561,2014
AR,6,2936,2014
AZ,3,10495,2014
CA,40,113952,2014
CO,3,10028,2014
CT,6,4450,2014
DC,1,7748,2014
DE,1,901,2014
FL,28,41542,2014
GA,9,16521,2014
GU,1,1356,2014
HI,2,6918,2014
IA,3,3122,2014
ID,2,2104,2014
IL,20,13107,2014
IN,3,5971,2014
KS,5,2783,2014
KY,3,5089,2014
LA,9,4606,2014
MA,18,21237,2014
MD,16,7856,2014
ME,2,2726,2014
MI,21,12227,2014
MN,10,8377,2014
MO,8,7282,2014
MS,3,2226,2014
MT,1,1745,2014
NC,12,11491,2014
ND,1,1258,2014
NE,3,3026,2014
NH,3,1376,2014
NJ,17,11671,2014
NM,2,2746,2014
NV,3,8582,2014
NY,29,80590,2014
OH,9,11823,2014
OK,8,4191,2014
OR,7,12164,2014
PA,18,15333,2014
PR,2,4132,2014
RI,1,1190,2014
SC,4,5057,2014
SD,1,885,2014
TN,10,9415,2014
TX,12,28495,2014
UT,3,3081,2014
VA,16,7020,2014
VI,1,448,2014
VT,2,1559,2014
WA,7,18442,2014
WI,4,6055,2014
WV,4,2013,2014
WY,1,757,2014
Total,414,576450,2014
AK,2,1946,2013
AL,8,4689,2013
AR,6,3812,2013
AZ,3,10562,2013
CA,40,118552,2013
CO,3,9754,2013
CT,6,4448,2013
DC,1,6865,2013
DE,1,946,2013
FL,28,47862,2013
GA,9,16971,2013
GU,1,1271,2013
HI,2,6335,2013
IA,3,3084,2013
ID,2,1781,2013
IL,20,13425,2013
IN,3,6096,2013
KS,5,2693,2013
KY,3,5245,2013
LA,9,5226,2013
MA,18,19029,2013
MD,16,8205,2013
ME,2,3016,2013
MI,21,11527,2013
MN,10,8214,2013
MO,8,8581,2013
MS,3,2403,2013
MT,1,1878,2013
NC,12,12168,2013
ND,1,2069,2013
NE,3,3145,2013
NH,3,1447,2013
NJ,17,12002,2013
NM,2,2819,2013
NV,3,7039,2013
NY,30,77430,2013
OH,9,12325,2013
OK,8,4408,2013
OR,7,13822,2013
PA,18,15086,2013
PR,2,4128,2013
RI,1,1384,2013
SC,4,6544,2013
SD,1,1094,2013
TN,10,9528,2013
TX,12,29615,2013
UT,3,3277,2013
VA,16,7625,2013
VI,1,482,2013
VT,2,1454,2013
WA,7,17760,2013
WI,4,6104,2013
WV,4,2240,2013
WY,1,953,2013
Total,415,590364,2013
AK,2,1913,2012
AL,8,5209,2012
AR,6,4214,2012
AZ,3,11302,2012
CA,42,120098,2012
CO,3,16768,2012
CT,7,4209,2012
DC,1,6954,2012
DE,1,1008,2012
FL,28,55170,2012
GA,7,20516,2012
GU,1,1301,2012
HI,2,6246,2012
IA,3,2928,2012
ID,2,1968,2012
IL,20,14144,2012
IN,3,6259,2012
KS,5,2684,2012
KY,3,5230,2012
LA,9,7772,2012
MA,19,17501,2012
MD,16,9454,2012
ME,2,2393,2012
MI,21,12592,2012
MN,10,7744,2012
MO,8,10237,2012
MS,3,2413,2012
MT,1,1833,2012
NC,12,13524,2012
ND,1,688,2012
NE,3,3789,2012
NH,3,1496,2012
NJ,19,13025,2012
NM,2,3245,2012
NV,3,8497,2012
NY,31,69566,2012
OH,9,13977,2012
OK,8,5032,2012
OR,7,15828,2012
PA,18,14736,2012
PR,2,3212,2012
RI,1,1277,2012
SC,4,4915,2012
SD,1,859,2012
TN,10,9426,2012
TX,14,34052,2012
UT,3,3527,2012
VA,19,8424,2012
VI,1,484,2012
VT,2,1160,2012
WA,7,20504,2012
WI,4,6027,2012
WV,4,2410,2012
WY,1,1813,2012
Total,425,621553,2012
AK,2,2128,2011
AL,8,5558,2011
AR,7,3424,2011
AZ,3,10504,2011
CA,42,125128,2011
CO,3,15116,2011
CT,7,4456,2011
DC,1,6546,2011
DE,1,1035,2011
FL,28,56687,2011
GA,7,20975,2011
GU,1,1745,2011
HI,2,6188,2011
IA,3,3134,2011
ID,2,2199,2011
IL,20,14009,2011
IN,3,6196,2011
KS,5,2511,2011
KY,3,6034,2011
LA,9,9291,2011
MA,20,16664,2011
MD,16,10208,2011
ME,3,2447,2011
MI,21,13185,2011
MN,10,7495,2011
MO,8,8989,2011
MS,3,2306,2011
MT,1,1768,2011
NC,12,12896,2011
ND,1,603,2011
NE,3,3548,2011
NH,3,1469,2011
NJ,19,14137,2011
NM,2,3601,2011
NV,3,9150,2011
NY,32,63445,2011
OH,9,13030,2011
OK,8,4625,2011
OR,7,17254,2011
PA,18,15096,2011
PR,2,2900,2011
RI,1,1070,2011
SC,4,5093,2011
SD,1,826,2011
TN,10,9113,2011
TX,16,36911,2011
UT,3,3130,2011
VA,20,8816,2011
VI,1,532,2011
VT,2,1144,2011
